Recipe Name,Portions,Cooking Time (min),Calories (Kcal)
Hamburger di tacchino,2,40,534.0
"Insalata di patate, mozzarelline e pomodorini",2,50,
Insalata con uova strapazzate,1,25,
Pasticcio di patate e salsiccia,2,75,798.0
Pizza con bicarbonato,2,55,
Insalata di gamberi con salsa allo yogurt,2,22,331.0
Noodles fritti alle verdure,3,50,514.0
Piadina con verdure gratinate,1,40,807.0
One-pot paella vegetariana di riso rosso,2,50,
Parmigiana bianca di verdure e parmigiano,1,20,320.0
Melanzane ripiene di bulgur,2,60,
Hamburger piemontesi,2,65,
Club sandwich al salmone,2,40,799.0
Piadina Tirolo,1,10,954.0
Panino con polpo e burrata,3,90,
"Piadina con crudo, brie, insalata e salsa cocktail",2,12,557.0
Timballo di riso ai 4 formaggi,2,60,729.0
Sandwich cubano,2,75,
Futomaki,3,30,357.0
Parmigiana nel panino,2,70,
Bulgur con ciliegie e caprino,1,20,375.0
Tortillas con maiale speziato e guacamole allo yogurt,2,55,409.0
Farro con verdure e tonno,2,50,
Quinoa melanzane e menta,1,25,271.0
Lentil tofu di lenticchie rosse,2,20,
Frittata di mazzancolle,2,35,243.0
Insalata di tonno esotica,2,17,205.0
Insalata con scamorza e verdure grigliate,2,45,428.0
Insalata di spinaci con patate salmone e feta,2,32,585.0
Pasticcio di patate,2,80,
Piadina al salmone con salsa allo yogurt,2,30,414.0
Formaggio vegano spalmabile,2,20,149.0
Poke di salmone,2,55,
Insalata di orzo e cavolo riccio,2,35,455.0
Insalata di quinoa con edamame e verdure,2,35,
Club sandwich con uova strapazzate,2,45,641.0
"Bowl di salmone, avocado e croccante di pane",2,25,473.0
Crepe salate con finferli e pancetta,2,35,757.0
Bulgur con pesto di erbe fresche e noci,2,38,417.0
Pho vietnamita,2,380,
Colcannon,2,45,
One-pot di pollo e verdure,2,60,349.0
Cistecca,1,25,
Noodles di pollo piccanti,2,60,
One-pot quinoa,2,75,
Zucchine ripiene con cereali e quinoa,1,40,236.0
Crostata salata di polenta,2,100,
Sashimi,3,30,
Portobello burger,3,30,433.0
Patate americane con cheddar e bacon,1,105,815.0
Manzo piccante con peperoni e germogli di soia,2,50,574.0
Tacchino alle erbe e insalata esotica,2,60,686.0
Sandwich di manzo e insalata di cavolo con patate croccanti,2,200,487.0
Frittata con pesto e pomodori,2,60,173.0
Stufato di rape rosse e lenticchie,2,155,
Insalata di kiwi,2,15,267.0
Torta salata funghi e lenticchie,2,110,
Croque baguette,2,24,613.0
Poke di pollo,2,65,
Frittata ai piselli fave e fagiolini,1,45,143.0
Madame club sandwich,2,45,775.0
Timballo di riso,2,85,
Pita con melanzane e pollo,2,60,752.0
Pollo tandoori con chapati e salsa alla curcuma,2,60,499.0
Insalata di farro con pesto di erbe e primosale,2,42,
Tomino burger,2,45,778.0
McChicken Saporito,2,45,1865.0
Sformato di patate e funghi,2,65,
Chaffle,2,15,267.0
Wrap di tonno e avocado con salsa allo yogurt e daikon,2,23,410.0
Riso rosso e cereali con bufala e pomodorini arrosto,2,25,661.0
Zongzi,4,205,
Piadina con salsiccia e cipolle stufate,2,50,865.0
Torta di crespelle ai funghi,2,100,
Arancini agli spinaci,3,75,
Insalatona nel pane,1,23,609.0
Temaki,4,10,
Salmone Tandoori,1,45,413.0
Piadina spessa romagnola,2,40,
Rosticciata (grostl) ai finferli con speck,3,60,224.0
Lobster roll,2,30,
Egg burger,3,20,513.0
Piadina di grano saraceno con straccetti di pollo e chips al forno,2,90,873.0
Egg sandwich,2,49,
Ossobuco di tacchino con risotto,3,105,
Omelette caprese,2,20,518.0
Uova nel pane,2,35,
Burger di broccoli,1,40,
Piadina con zucchine e stracchino,2,30,742.0
Il Gustoso,2,45,
Ghormeh sabzi,2,215,
One-pot di riso,2,40,369.0
Cacciucco toscano,5,170,
Polenta al forno,2,100,
Bowl di riso e salmone al vapore,2,45,
Parmigiana di carciofi,2,55,688.0
Panino con roast beef e cipolle caramellate,3,90,
Fish tacos,2,30,690.0
Pastieri ragusani,3,90,383.0
Piadina con prosciutto e scamorza,1,7,
L'Audace,2,55,
Primosale alla piastra con verdure di stagione,2,60,
Quiche  al salmone con patate e radicchio,2,90,438.0
Colazione messicana,2,30,553.0
Fonduta di Reblochon,1,55,621.0
Polenta con polpo in umido ed erbette saltate,3,80,451.0
Congee,2,55,
Schiacciata alle nespole e rosmarino,3,90,472.0
Kebab vegetariano,2,50,1041.0
Schiscetta con couscous e salmone,1,30,
Poke di tonno,2,20,
Burger di manzo con maionese di soia,2,30,1058.0
Choripan,1,20,718.0
