ingrediente,price_max,price_min
Piadine Sfogliatissime,12.5,3.65
Piadine arrotolabili sofficissime,12.5,3.65
Piadine integrali,16.6,1.78
Piadine integrali ( da 50 gr ciascuna),16.6,1.78
Piadine senza strutto (diametro 28 cm),7.96,7.96
Piadine sfogliatissime,12.5,3.65
Piadine sfogliatissime classiche,16.98,3.42
Pinoli,112.14,74.8
Piselli secchi,11.0,1.79
Piselli surgelati,11.0,1.79
Pisellini,8.56,4.7
Pisellini (da sgranare),8.56,4.7
Pisellini sgranati,8.56,4.7
Pisellini sgranati da 400 g di baccelli,19.38,2.36
Pistacchi,34.17,14.32
Pistacchi non salati non tostati,7.94,2.68
Pistacchi sgusciati,46.86,11.38
Pita,,
Pollo (fettine),20.79,20.79
Pollo arrosto,49.75,9.49
Pollo intero (eviscerato),4.58,0.99
Polpa di pomodoro,35.45,0.01
Polpo,87.38,19.9
Polpo (da 600 g),87.38,19.9
Polpo (fresco),87.38,19.9
Polpo già lessato,87.38,19.9
Pomodori,6.96,6.96
Pomodori San Marzano,5.73,5.73
Pomodori cuore di bue,4.56,4.56
Pomodori datterini pelati,5.38,5.38
Pomodori gialli campani freschi,18.69,5.78
Pomodori marinda,6.96,6.96
Pomodori pelati (peso da sgocciolati),5.38,5.38
Pomodori perini,6.96,6.96
Pomodori piccadilly,4.96,4.96
Pomodori piccadilly maturi,4.96,4.96
Pomodori ramati,6.96,6.96
Pomodori ramati (1 medio),6.96,6.96
Pomodori sardi (camone),3.58,3.58
Pomodori secchi,15.5,10.32
Pomodorini,12.88,12.88
"Pomodorini (rossi, verdi, gialli)",12.88,12.88
Pomodorini ciliegino,8.5,8.5
Pomodorini colorati,7.6,7.6
Pomodorini datterini,14.14,8.9
Pomodorini datterini rossi verdi e gialli,8.9,8.9
Pomodorini gialli,3.45,3.45
Pomodorini secchi sottolio,12.88,8.5
Porri,5.0,2.38
Porri la parte verde,5.0,2.38
Prezzemolo,647.5,19.8
Prezzemolo (da tritare),647.5,19.8
Prezzemolo (le foglie),647.5,19.8
Prezzemolo (tritato),647.5,19.8
Prezzemolo da tritare,647.5,19.8
Prezzemolo riccio,647.5,19.8
Prezzemolo tritato,25.8,19.8
Primosale,17.63,13.61
Prosciutto cotto,69.9,4.9
Prosciutto cotto (2 fette spesse),69.9,4.9
Prosciutto cotto (a fette),69.9,4.9
Prosciutto cotto (arrosto),69.9,4.9
Prosciutto cotto a cubetti,53.55,4.9
Prosciutto cotto alle erbe,41.84,6.41
Prosciutto cotto in un unica fetta,53.55,4.9
Prosciutto cotto pezzo intero,53.55,4.9
Prosciutto cotto una fetta spessa di spalla,53.55,4.9
Prosciutto crudo,73.75,3.38
Prosciutto crudo di Parma,73.75,3.38
Provola,20.0,8.14
Provola affumicata,20.0,10.5
Provolone,25.0,9.92
Provolone Valpadana DOP (a fette),14.36,14.36
Provolone piccante,25.0,9.92
Puccia salentina,5.17,5.17
Quinoa,19.93,9.26
Quinoa (già cotta seguendo indicazioni sulla confezione),19.93,9.26
Quinoa rossa,9.26,9.26
Quinoa tricolore,6.38,4.96
Radicchio,17.72,2.86
Radicchio lungo,71.93,1.89
Radicchio qualche,17.72,15.4
Rana pescatrice pulita,22.33,3.9
Ravanelli,6.4,6.4
Reblochon forma intera,23.33,23.33
Ribes,39.84,7.62
Ricotta vaccina,14.5,3.09
Riso,26.4,1.65
Riso Arborio,4.25,2.95
Riso Basmati,7.38,3.98
Riso Bomba,26.4,1.65
Riso Carnaroli,5.49,3.69
Riso Ribe,5.98,2.49
Riso a chicco lungo (tipo Basmati),1.89,1.89
Riso a chicco tondo,3.73,1.69
Riso glutinoso,21.86,21.86
Riso integrale,16.13,1.59
Riso nero Venere,7.18,7.18
Riso nishiki (per sushi cotto),26.4,1.65
Riso per insalata,13.52,13.52
Riso per sushi,42.62,14.97
Riso per sushi cotto,42.62,14.97
Riso pilaf,26.4,1.65
Riso rosso,22.58,3.08
Riso vialone nano,3.99,3.99
Robiola,26.9,10.95
Roquefort,30.0,30.0
Rosmarino,163.33,2.0
Rosmarino qualche,33.33,2.0
Rucola,23.16,9.9
Rum,68.43,9.99
Sake,,
Salame,49.88,10.6
Salame di Milano (per ciascun panino),36.67,9.9
Salame napoletano,14.36,14.36
Sale,38.38,2.58
Sale delle Hawaii rosso,22.58,3.08
Sale di maldon,56.25,0.29
Sale fino,4.6,0.29
Sale grosso,0.89,0.29
Sale grosso (per le cipolle),0.89,0.29
Salmone,79.0,13.93
Salmone abbattuto,90.53,10.6
Salmone affumicato,95.87,15.16
Salsa Worcestershire,25.93,25.93
Salsa barbecue,11.73,6.48
Salsa barbecue veg,11.15,6.48
Salsa cocktail,15.36,0.88
Salsa di soia,21.57,19.93
Salsa di soia (o di pesce Thai),21.57,19.93
Salsa di soia chiara,21.57,19.93
Salsa di soia scura,21.57,19.93
Salsa piccante,49.17,12.36
Salsa ponzu,59.88,3.69
Salsa sriracha,18.09,18.09
Salsa teriyaki,15.96,10.82
Salsa verde,77.0,0.53
Salsiccia,25.0,7.99
Salsiccia di maiale,25.0,7.99
Salvia,165.83,2.0
Sarde (da pulire),,
Scalogno,9.37,6.32
Scalogno (piccolo),9.37,6.32
Scalogno piccolo,9.37,6.32
Scamorza (provola),19.92,9.16
Scamorza (provola) a fette,28.57,2.94
Scamorza (provola) dolce,19.92,9.16
Scamorza (provola) fettine sottili,23.63,5.7
Scamorza affumicata,19.92,9.16
Scamorza affumicata a,39.9,9.16
Scamorza affumicata sottili,19.92,9.16
Scampi interi,33.98,26.9
Scorfano intero,4.58,0.99
Scorza di lime,5.93,5.93
Scorza di limone,3.5,3.5
Scorza di limone (da grattugiare),139.0,0.53
Scorza di limone da grattugiare,2.6,2.6
Scorze di fave,29.86,29.86
Sedano,7.48,1.55
Sedano con le foglie,7.48,2.58
Semi di coriandolo,33.33,33.33
Semi di cumino,71.14,4.0
Semi di lino,14.2,4.18
Semi di papavero,4.97,4.97
Semi di sesamo,34.9,26.58
Semi di sesamo misti,34.9,10.66
Semi di sesamo nero,34.9,10.66
Semi di zucca,32.0,11.8
Semola,6.91,2.09
Semola di grano duro,6.5,1.39
Semola di grano duro rimacinata,1.9,1.39
Senape,17.78,6.6
Senape allantica,16.43,6.6
Senape antica,16.43,12.32
Senape di Digione in grani,12.79,12.79
Senape gialla,16.43,6.6
Senape in grani,17.78,6.6
Senape scarso,16.43,6.6
Seppie pulite,24.9,17.48
Shiso,,
Songino,14.29,9.9
Soppressata,,
Sovracosce di pollo,6.5,3.99
Speck,47.67,7.32
Speck senza glutine,24.4,1.4
Spinaci,22.17,1.99
Spinaci freschi,22.17,1.99
Spinacini,,
Squacquerone,14.25,10.63
Stracchino,19.33,7.16
Stracciatella,20.79,5.58
Stracciatella (a temperatura ambiente),20.79,5.58
Stracciatella (peso sgocciolata),20.79,5.58
Strutto,7.96,7.96
Succo di lime,8.36,5.93
Succo di limone,11.25,5.58
Succo di limone goccia,6.18,6.18
Succo di mandarino,9.11,9.11
Surimi,43.33,14.95
Tabasco,,
Tabasco®,,
Tagliolini alluovo freschi,14.76,3.96
Tahina,8.42,8.42
Taleggio,20.0,12.95
Tartufo,66.13,10.9
Tartufo nero,27.86,10.9
Timo,132.67,132.67
Timo fresco,132.67,132.67
Timo rametti,132.67,132.67
Timo secco,132.67,132.67
Tofu,165.31,7.96
Toma,20.9,20.9
