data;scontrini;totale;ristorante
20180502;0;0.00;R003
20180502;0;0.00;R004
20180502;0;0.00;R005
20180503;0;0.00;R001
20180503;0;0.00;R002
20180503;0;0.00;R003
20180503;0;0.00;R004
20180503;0;0.00;R005
20180504;0;0.00;R001
20180504;0;0.00;R002
20180504;0;0.00;R003
20180504;0;0.00;R004
20180504;0;0.00;R005
20180505;0;0.00;R001
20180505;0;0.00;R002
20180505;0;0.00;R003
20180505;0;0.00;R004
20180505;0;0.00;R005
20180506;0;0.00;R001
20180506;0;0.00;R002
20180506;0;0.00;R003
20180506;0;0.00;R004
20180506;0;0.00;R005
20180507;0;0.00;R001
20180507;0;0.00;R002
20180507;0;0.00;R003
20180507;0;0.00;R004
20180507;0;0.00;R005
20180508;0;0.00;R001
20180508;0;0.00;R002
20180508;0;0.00;R003
20180508;0;0.00;R004
20180508;0;0.00;R005
20180509;0;0.00;R001
20180509;0;0.00;R002
20180509;0;0.00;R003
20180509;0;0.00;R004
20180509;0;0.00;R005
20180510;0;0.00;R001
20180510;0;0.00;R002
20180510;0;0.00;R003
20180510;0;0.00;R004
20180510;0;0.00;R005
20180511;0;0.00;R001
20180511;0;0.00;R002
20180511;0;0.00;R003
20180511;0;0.00;R004
20180511;0;0.00;R005
20180512;0;0.00;R001
20180512;0;0.00;R002
20180512;0;0.00;R003
20180512;0;0.00;R004
20180512;0;0.00;R005
20180513;0;0.00;R001
20180513;0;0.00;R002
20180513;0;0.00;R003
20180513;0;0.00;R004
20180513;0;0.00;R005
20180514;0;0.00;R001
20180514;0;0.00;R002
20180514;0;0.00;R003
20180514;0;0.00;R004
20180514;0;0.00;R005
20180515;0;0.00;R001
20180515;0;0.00;R002
20180515;0;0.00;R003
20180515;0;0.00;R004
20180515;0;0.00;R005
20180516;0;0.00;R001
20180516;0;0.00;R002
20180516;0;0.00;R003
20180516;0;0.00;R004
20180516;0;0.00;R005
20180517;0;0.00;R001
20180517;0;0.00;R002
20180517;0;0.00;R003
20180517;0;0.00;R004
20180517;0;0.00;R005
20180518;0;0.00;R001
20180518;0;0.00;R002
20180518;0;0.00;R003
20180518;0;0.00;R004
20180518;0;0.00;R005
20180519;0;0.00;R001
20180519;0;0.00;R002
20180519;0;0.00;R003
20180519;0;0.00;R004
