Date;Price;;;;;;;;
02/17/23;4.079,;;;;;;;;
02/16/23;4.090,;;;;;;;;
02/15/23;4.148,;;;;;;;;
02/14/23;4.136,;;;;;;;;
02/13/23;4.137,;;;;;;;;
02/10/23;4.090,;;;;;;;;
02/09/23;4.082,;;;;;;;;
02/08/23;4.118,;;;;;;;;
02/07/23;4.164,;;;;;;;;
02/06/23;4.111,;;;;;;;;
02/03/23;4.136,;;;;;;;;
02/02/23;4.180,;;;;;;;;
02/01/23;4.119,;;;;;;;;
01/31/23;4.077,;;;;;;;;
01/30/23;4.018,;;;;;;;;
01/27/23;4.071,;;;;;;;;
01/26/23;4.060,;;;;;;;;
01/25/23;4.016,;;;;;;;;
01/24/23;4.017,;;;;;;;;
01/23/23;4.020,;;;;;;;;
01/20/23;3.973,;;;;;;;;
01/19/23;3.899,;;;;;;;;
01/18/23;3.929,;;;;;;;;
01/17/23;3.991,;;;;;;;;
01/13/23;3.999,;;;;;;;;
01/12/23;3.983,;;;;;;;;
01/11/23;3.970,;;;;;;;;
01/10/23;3.919,;;;;;;;;
01/09/23;3.892,;;;;;;;;
01/06/23;3.895,;;;;;;;;
01/05/23;3.808,;;;;;;;;
01/04/23;3.853,;;;;;;;;
01/03/23;3.824,;;;;;;;;
12/30/22;3.839,;;;;;;;;
12/29/22;3.849,;;;;;;;;
12/28/22;3.783,;;;;;;;;
12/27/22;3.829,;;;;;;;;
12/23/22;3.845,;;;;;;;;
12/22/22;3.822,;;;;;;;;
12/21/22;3.878,;;;;;;;;
12/20/22;3.822,;;;;;;;;
12/19/22;3.818,;;;;;;;;
12/16/22;3.852,;;;;;;;;
12/15/22;3.896,;;;;;;;;
12/14/22;3.995,;;;;;;;;
12/13/22;4.020,;;;;;;;;
12/12/22;3.991,;;;;;;;;
12/09/22;3.934,;;;;;;;;
12/08/22;3.964,;;;;;;;;
12/07/22;3.934,;;;;;;;;
12/06/22;3.941,;;;;;;;;
12/05/22;3.999,;;;;;;;;
12/02/22;4.072,;;;;;;;;
12/01/22;4.077,;;;;;;;;
11/30/22;4.080,;;;;;;;;
11/29/22;3.958,;;;;;;;;
11/28/22;3.964,;;;;;;;;
11/25/22;4.026,;;;;;;;;
11/23/22;4.027,;;;;;;;;
11/22/22;4.004,;;;;;;;;
11/21/22;3.950,;;;;;;;;
11/18/22;3.965,;;;;;;;;
11/17/22;3.947,;;;;;;;;
11/16/22;3.959,;;;;;;;;
11/15/22;3.992,;;;;;;;;
11/14/22;3.957,;;;;;;;;
11/11/22;3.993,;;;;;;;;
11/10/22;3.956,;;;;;;;;
11/09/22;3.749,;;;;;;;;
11/08/22;3.828,;;;;;;;;
11/07/22;3.807,;;;;;;;;
11/04/22;3.771,;;;;;;;;
11/03/22;3.720,;;;;;;;;
11/02/22;3.760,;;;;;;;;
11/01/22;3.856,;;;;;;;;
10/31/22;3.872,;;;;;;;;
10/28/22;3.901,;;;;;;;;
10/27/22;3.807,;;;;;;;;
10/26/22;3.831,;;;;;;;;
10/25/22;3.859,;;;;;;;;
10/24/22;3.797,;;;;;;;;
10/21/22;3.753,;;;;;;;;
10/20/22;3.666,;;;;;;;;
10/19/22;3.695,;;;;;;;;
10/18/22;3.720,;;;;;;;;
10/17/22;3.678,;;;;;;;;
10/14/22;3.583,;;;;;;;;
10/13/22;3.670,;;;;;;;;
10/12/22;3.577,;;;;;;;;
10/11/22;3.589,;;;;;;;;
10/10/22;3.612,;;;;;;;;
10/07/22;3.640,;;;;;;;;
10/06/22;3.745,;;;;;;;;
10/05/22;3.783,;;;;;;;;
10/04/22;3.791,;;;;;;;;
10/03/22;3.678,;;;;;;;;
09/30/22;3.586,;;;;;;;;
09/29/22;3.640,;;;;;;;;
09/28/22;3.719,;;;;;;;;
09/27/22;3.647,;;;;;;;;
09/26/22;3.655,;;;;;;;;
09/23/22;3.693,;;;;;;;;
09/22/22;3.758,;;;;;;;;
09/21/22;3.790,;;;;;;;;
09/20/22;3.856,;;;;;;;;
09/19/22;3.900,;;;;;;;;
09/16/22;3.873,;;;;;;;;
09/15/22;3.901,;;;;;;;;
09/14/22;3.946,;;;;;;;;
09/13/22;3.933,;;;;;;;;
09/12/22;4.110,;;;;;;;;
09/09/22;4.067,;;;;;;;;
09/08/22;4.006,;;;;;;;;
09/07/22;3.980,;;;;;;;;
09/06/22;3.908,;;;;;;;;
09/02/22;3.924,;;;;;;;;
09/01/22;3.967,;;;;;;;;
08/31/22;3.955,;;;;;;;;
08/30/22;3.986,;;;;;;;;
08/29/22;4.031,;;;;;;;;
08/26/22;4.058,;;;;;;;;
08/25/22;4.199,;;;;;;;;
08/24/22;4.141,;;;;;;;;
08/23/22;4.129,;;;;;;;;
08/22/22;4.138,;;;;;;;;
08/19/22;4.228,;;;;;;;;
08/18/22;4.284,;;;;;;;;
08/17/22;4.274,;;;;;;;;
08/16/22;4.305,;;;;;;;;
08/15/22;4.297,;;;;;;;;
08/12/22;4.280,;;;;;;;;
08/11/22;4.207,;;;;;;;;
08/10/22;4.210,;;;;;;;;
08/09/22;4.122,;;;;;;;;
08/08/22;4.140,;;;;;;;;
08/05/22;4.145,;;;;;;;;
08/04/22;4.152,;;;;;;;;
08/03/22;4.155,;;;;;;;;
08/02/22;4.091,;;;;;;;;
08/01/22;4.119,;;;;;;;;
07/29/22;4.130,;;;;;;;;
07/28/22;4.072,;;;;;;;;
07/27/22;4.024,;;;;;;;;
07/26/22;3.921,;;;;;;;;
07/25/22;3.967,;;;;;;;;
07/22/22;3.962,;;;;;;;;
07/21/22;3.999,;;;;;;;;
07/20/22;3.960,;;;;;;;;
07/19/22;3.937,;;;;;;;;
07/18/22;3.831,;;;;;;;;
07/15/22;3.863,;;;;;;;;
07/14/22;3.790,;;;;;;;;
07/13/22;3.802,;;;;;;;;
07/12/22;3.819,;;;;;;;;
07/11/22;3.854,;;;;;;;;
07/08/22;3.899,;;;;;;;;
07/07/22;3.903,;;;;;;;;
07/06/22;3.845,;;;;;;;;
07/05/22;3.831,;;;;;;;;
07/01/22;3.825,;;;;;;;;
06/30/22;3.785,;;;;;;;;
06/29/22;3.819,;;;;;;;;
06/28/22;3.822,;;;;;;;;
06/27/22;3.900,;;;;;;;;
06/24/22;3.912,;;;;;;;;
06/23/22;3.796,;;;;;;;;
06/22/22;3.760,;;;;;;;;
06/21/22;3.765,;;;;;;;;
06/17/22;3.675,;;;;;;;;
06/16/22;3.667,;;;;;;;;
06/15/22;3.790,;;;;;;;;
06/14/22;3.735,;;;;;;;;
06/13/22;3.750,;;;;;;;;
06/10/22;3.901,;;;;;;;;
06/09/22;4.018,;;;;;;;;
06/08/22;4.116,;;;;;;;;
06/07/22;4.161,;;;;;;;;
06/06/22;4.121,;;;;;;;;
06/03/22;4.109,;;;;;;;;
06/02/22;4.177,;;;;;;;;
06/01/22;4.101,;;;;;;;;
05/31/22;4.132,;;;;;;;;
05/27/22;4.158,;;;;;;;;
05/26/22;4.058,;;;;;;;;
05/25/22;3.979,;;;;;;;;
05/24/22;3.941,;;;;;;;;
05/23/22;3.974,;;;;;;;;
05/20/22;3.901,;;;;;;;;
05/19/22;3.901,;;;;;;;;
05/18/22;3.924,;;;;;;;;
05/17/22;4.089,;;;;;;;;
05/16/22;4.008,;;;;;;;;
05/13/22;4.024,;;;;;;;;
05/12/22;3.930,;;;;;;;;
05/11/22;3.935,;;;;;;;;
05/10/22;4.001,;;;;;;;;
05/09/22;3.991,;;;;;;;;
05/06/22;4.123,;;;;;;;;
05/05/22;4.147,;;;;;;;;
05/04/22;4.300,;;;;;;;;
05/03/22;4.175,;;;;;;;;
05/02/22;4.155,;;;;;;;;
04/29/22;4.132,;;;;;;;;
04/28/22;4.288,;;;;;;;;
04/27/22;4.184,;;;;;;;;
04/26/22;4.175,;;;;;;;;
04/25/22;4.296,;;;;;;;;
04/22/22;4.272,;;;;;;;;
04/21/22;4.394,;;;;;;;;
04/20/22;4.459,;;;;;;;;
04/19/22;4.462,;;;;;;;;
04/18/22;4.392,;;;;;;;;
04/14/22;4.393,;;;;;;;;
04/13/22;4.447,;;;;;;;;
04/12/22;4.397,;;;;;;;;
04/11/22;4.413,;;;;;;;;
04/08/22;4.488,;;;;;;;;
04/07/22;4.500,;;;;;;;;
04/06/22;4.481,;;;;;;;;
04/05/22;4.525,;;;;;;;;
04/04/22;4.583,;;;;;;;;
04/01/22;4.546,;;;;;;;;
03/31/22;4.530,;;;;;;;;
03/30/22;4.602,;;;;;;;;
03/29/22;4.632,;;;;;;;;
03/28/22;4.576,;;;;;;;;
03/25/22;4.543,;;;;;;;;
03/24/22;4.520,;;;;;;;;
03/23/22;4.456,;;;;;;;;
03/22/22;4.512,;;;;;;;;
03/21/22;4.461,;;;;;;;;
03/18/22;4.463,;;;;;;;;
03/17/22;4.412,;;;;;;;;
03/16/22;4.358,;;;;;;;;
03/15/22;4.262,;;;;;;;;
03/14/22;4.173,;;;;;;;;
03/11/22;4.204,;;;;;;;;
03/10/22;4.260,;;;;;;;;
03/09/22;4.278,;;;;;;;;
03/08/22;4.171,;;;;;;;;
03/07/22;4.201,;;;;;;;;
03/04/22;4.329,;;;;;;;;
03/03/22;4.363,;;;;;;;;
03/02/22;4.387,;;;;;;;;
03/01/22;4.306,;;;;;;;;
02/28/22;4.374,;;;;;;;;
02/25/22;4.385,;;;;;;;;
02/24/22;4.289,;;;;;;;;
02/23/22;4.226,;;;;;;;;
02/22/22;4.305,;;;;;;;;
02/18/22;4.349,;;;;;;;;
02/17/22;4.380,;;;;;;;;
02/16/22;4.475,;;;;;;;;
